Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,69841274.16883117,76767677.7062937,75143185.95189002,99484925.97350994,104234533.4723127,128237788.28025478,171253818.59327215,204065050.97560978,163492067.5,168729212.21556887,206968827.9289941,218639877.13432837,228753473.26164874,237442912.87671232,277241864.69453377,286002007.9758308,303330037.62611276,359067892.7659575,401215818.7234043,459371479.5031055,453797298.69158876,433493820.4361371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494534093.41463417,535971371.86943614,625961534.0119761,730486779.4117647,805928970.5202311,1107713583.181818,1031561753.3673469,1241616104.9,1375850637.3969631,1544912201.2147505,1750093808.0,1786820842.217295,1786241984.3137255,1763521821.5668204,1705088232.0,1816316671.1864407,1711206500.3791468,1720773523.3867276,1734149769.4827588,0.0
AFG,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,138800523492.06348,160623593947.3684,77079974685.99034,127450975294.11766,113450289368.42105,111111108732.39436,107376284327.73108,101489120893.4708,117857146750.0,140606099239.54373,126011187612.45676,155303031651.7857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218020406774.19357,249478387182.32043,273653340785.34033,385660722049.68945,412502106213.01776,521276980320.8556,474615266807.5117,515193404522.8216,593883093483.146,622556402762.2378,679430616587.0308,783906809182.8794,537982329921.2598,401136514968.55347,274493370681.81818,284143479242.42426,273533766348.48483,294201107089.2019,297575995946.7456,0.0
AFG,170247502.56426492,175419909.10834134,176389609.51213214,237783712.5174117,248570732.16505095,304331168.1480138,412104076.0037678,479932718.9812425,377746002.5855429,390728526.8179045,481044833.3149961,512055081.37583894,573870633.0880396,564714036.6195347,640124576.23092,650970023.104852,680610303.3450516,805732912.6425493,915192220.589051,1060615043.3086674,1026936811.798545,997759395.686342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214998671.5004795,1306282922.934506,1525176191.7128685,1736336024.888143,2052068054.5743551,2920625459.012464,2803623379.8324924,3204997689.46825,3721002157.976252,4064537533.4429073,4513721446.127336,4537274220.981037,4325931106.749398,4490123378.232506,3872218711.794126,3837262569.5694876,4178020962.508679,4070026140.5066032,4042144702.4072657,0.0
AFG,1483524996.137931,1398443046.1146498,1132987933.2642486,1502222382.2,1367521443.4188035,1519496812.0754716,2007168411.469534,1789661409.6256683,1441819807.8740158,2281601493.1174088,2075829787.537092,2173423110.9792285,1743776476.5027323,1947565465.1685393,2305406949.7326202,2484689360.6299214,3078982610.843374,3558233033.73494,4074074208.641975,4771536012.903226,3990929667.9452057,3953168078.409091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11423041030.985916,12371393994.520548,13845771679.470198,15522844062.5,17537825396.226414,19995650322.05128,19164559588.625595,21224206921.367523,22815364886.330936,16562895924.651163,20365541755.498722,20931329865.974026,20756584070.886074,24531040723.076923,24399410727.272724,23589269974.842766,23445751401.298702,18752569319.70075,19342439736.53846,0.0
AFG,1062801998.2213439,935074779.5570699,675731369.3448701,914873557.9780756,815494438.7359837,867816067.2413794,1111111084.920635,1052410954.716981,874734628.6624204,1235867475.4385965,1053546142.1686747,968840725.3968254,1036074984.4155844,1083333290.0,1140505554.4973545,1126984102.857143,1317296684.0206187,1246132243.8818564,1549295825.8215964,1673276203.6199095,2057470803.3898306,1748134627.638191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3789887444.8598127,3762965673.3333335,5762710925.027563,4668524530.075188,4199569635.542169,4256715952.838428,2395569948.5781994,1833997200.7385526,1878753388.1516588,1459435501.557377,1932749229.7087376,2378560212.042503,2621115955.2429667,2412889251.450189,2687917279.67359,2364876372.005044,2151755492.133492,2050103679.7164667,2210564541.3186812,0.0
AFG,114216678935.51952,110958376243.22794,104825825081.49568,137732642223.20023,139821036842.84116,166407683076.00754,216497072186.3112,239966359490.62125,181437056359.9852,168850541946.30872,198268478596.04572,204822032550.33557,166279907040.72702,192601144939.77512,210273479982.83127,237779469517.34116,267155446172.82404,275292078486.20435,323796078044.66425,340911978206.3574,307048946241.2735,256004055472.15353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173350128927.45694,182345149290.4966,207323004783.66415,232285755837.8787,250198671894.6273,308594388122.0717,256998809817.97842,255613312656.977,284547223845.2428,165968615948.91873,221202243055.2469,262036379428.74982,314074450216.05225,275574095745.60016,300959573144.39496,254781806238.62183,241359776718.6288,208892070125.3389,214297830254.60745,0.0
AFG,8442351822.605965,6793179400.9901,4480874408.196721,5482563438.6861315,4938271879.012345,4863123855.072464,6249999852.678572,8625429989.690722,8747346286.624205,8336620840.236686,9662356883.977901,10229659055.865923,9065656113.636364,8798646010.152285,10313662669.85646,11378204884.615385,8842752826.98962,11402831729.729729,13469388200.0,14911050040.32258,17097292591.549295,15530303165.178572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25994740807.692307,28761521070.063694,32872822698.11321,39051180031.44654,41995696355.421684,58023092452.38095,57767458188.571434,70147802536.72318,83456203136.8421,93711121678.94737,75406504037.87878,60865271891.23867,73204024178.57143,75331542377.95276,60388541550.0,69200994944.64944,60990637091.21622,61436113539.21569,59515199189.349106,0.0
AFG,2135649144593.1458,2039766384980.7131,1730615036722.806,1924051414263.026,1627008428716.6973,1624074983866.8044,1799994814729.1006,1738455978972.3025,1172646623802.449,1001655757308.6111,1751864766102.3743,1786238655962.2288,1516774222864.422,1606783032370.4995,1949705582590.1335,2095470786775.5132,2215940522518.773,2515359092767.349,2775394954668.5503,3094562595189.8774,3062794000100.9233,2970428735249.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055586876254.5874,2180270777847.5205,2412589574236.312,2759739377305.658,2999176387454.827,4078678945254.314,4126988186858.048,4936607815531.664,6130222449200.508,6675832596828.016,7221954313803.737,7071693085001.826,6968825187164.685,6294976893012.238,5845560939919.9795,5881411788872.859,5507391268761.439,5632625462308.245,5869897089582.726,0.0
AFG,83935978008.42828,85273566927.66592,84536955710.8836,115619603334.1543,122582826821.12102,153548907565.58878,212578573142.21506,252937514057.68182,206659248051.2836,211063177432.8859,211868121532.23654,220238744677.78015,179070669120.78293,190706707448.5642,210886522198.52466,215225861297.53915,235595874234.8256,220233662788.96347,269436152533.51624,281387664551.2791,282229747353.4107,226675435524.85828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226422381377.79315,224820206321.07224,260617031273.37274,269896791433.3901,277833442068.2619,354015207153.02594,242313163542.66537,210429141227.71338,215426440724.9409,144669980003.9001,185564103896.346,244947050335.57047,286592935822.14764,243215016320.92737,292278046995.99896,243919016050.1535,230347163332.22754,187754182076.94153,191772206051.70834,0.0
AFG,58613385.40599455,63272495.17002881,61251168.38095237,81201209.84864865,84432722.3641161,103247860.3076923,138271601.67901236,160511598.84892085,128649495.7377049,136454132.88135594,165771241.3270142,173977099.3824228,172492483.8918919,181026972.74151438,212894370.1728395,221701790.7259953,237726099.25581396,278616360.1886793,312056747.89598113,355571193.2692308,346830792.5714286,332898364.49760765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362069604.10714287,390113071.9654428,448650541.5450644,519593106.6945607,571416852.0491804,778273814.9301397,739254492.3583181,883712530.177936,1003587252.9113923,1092338228.1595092,1226953286.0400615,1241689059.8459167,1234766672.8915663,1205304678.047244,1150257934.2857144,1200222056.32,1135423181.0691824,1129096140.7207208,1151138044.4062946,0.0
