s e c t o r,g a s,1 9 6 0,1 9 6 1,1 9 6 2,1 9 6 3,1 9 6 4,1 9 6 5,1 9 6 6,1 9 6 7,1 9 6 8,1 9 6 9,1 9 7 0,1 9 7 1,1 9 7 2,1 9 7 3,1 9 7 4,1 9 7 5,1 9 7 6,1 9 7 7,1 9 7 8,1 9 7 9,1 9 8 0,1 9 8 1,1 9 8 2,1 9 8 3,1 9 8 4,1 9 8 5,1 9 8 6,1 9 8 7,1 9 8 8,1 9 8 9,1 9 9 0,1 9 9 1,1 9 9 2,1 9 9 3,1 9 9 4,1 9 9 5,1 9 9 6,1 9 9 7,1 9 9 8,1 9 9 9,2 0 0 0,2 0 0 1,2 0 0 2,2 0 0 3,2 0 0 4,2 0 0 5,2 0 0 6,2 0 0 7,2 0 0 8,2 0 0 9,2 0 1 0,2 0 1 1,2 0 1 2,2 0 1 3,2 0 1 4,2 0 1 5,2 0 1 6,2 0 1 7,2 0 1 8,2 0 1 9,2 0 2 0,2 0 2 1
Other,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002725,0.00018,0.000115,0.000145,0.0001725,0.00026,0.0002725,0.0002025,0.00022,0.0001625,0.000115,0.000125,0.0002075,0.0001075,7.75e-05,6e-05,7.25e-05,9.75e-05,9.25e-05,3e-05,5.75e-05,3.25e-05,1.5e-05,7.5e-06,1e-05,7.5e-06,0.0,0.0,0.0,0.0,0.0,0.0
Other,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.831,0.7067,0.5815,0.6214000000000001,0.673,0.7158,0.7726999999999999,0.7607999999999999,0.7152000000000001,0.6684,0.6304,0.5745,0.5044,0.4406,0.37389999999999995,0.32199999999999995,0.2645,0.2097,0.12229999999999999,0.09419999999999999,0.0513,0.01632,0.0039,0.00329,0.00288,0.00357,0.000845,0.0,0.0,0.0,0.0
Other,N2O,10.632848599999999,10.68118718,10.73578376,10.789814139999999,10.84113272,10.8951333,10.94674988,10.99508846,11.04912182,11.103420400000001,10.31213802,10.31455182,10.9607827,11.77385186,12.53303368,13.3797828,13.7767486,13.96485216,14.68981166,14.94714062,15.384002659999998,15.379565439999999,15.3890478,15.33370324,15.25775496,15.156217419999999,15.399105299999999,15.88457412,15.862918460000001,15.59881894,16.6361182,16.3325456,14.7543674,14.144957400000001,11.968156800000001,10.840018200000001,10.319293,9.4668342,9.7302066,9.4423684,9.383572999999998,9.358540999999999,9.3292178,9.5088522,9.2818358,9.1970548,9.415608,9.3245094,9.4704102,8.6168786,8.8231244,9.3742456,9.643578,9.4384348,9.091235000000001,8.837935,8.6889067,8.5845179,8.658721100000001,8.7472834,8.686402,8.657793999999999
Total excluding LULUCF,CH4,539.7049999999999,537.66,559.5,584.365,588.8525,603.355,621.6975,631.15,626.9075,625.0175,624.5975000000001,636.1625,650.2475,664.025,682.68,700.735,718.3725,726.9675,743.8075,756.29,764.1424999999999,762.03,774.585,782.6700000000001,801.6075,810.9825,829.2525,845.02,871.3475,886.705,891.9375,857.7225000000001,806.5074999999999,803.9375,723.3475,687.44,669.065,632.01,615.1650000000001,627.7375,646.8925,649.4200000000001,648.6825,668.3025,663.7575,661.235,677.6525,677.69,676.5125,611.7675,615.835,628.9625,629.625,620.665,614.4075,604.5925,603.355,607.3225,622.735,631.99,628.6125,605.1800000000001
Total excluding LULUCF,CO2,1756.7199999999998,1810.96,1906.13,2043.9,2178.05,2317.13,2454.08,2570.16,2638.7999999999997,2755.96,2861.35,2964.7799999999997,3124.1,3265.6,3344.9,3481.2,3606.4,3703.2999999999997,3807.4,3830.3,3947.8999999999996,3867.1,3886.6,3922.9,3991.0,4266.400000000001,4272.6,4263.0,4360.5,4268.6,4060.6,3833.2,3247.1000000000004,2968.3,2585.1,2501.84,2415.02,2283.23,2236.55,2207.03,2204.23,2247.91,2260.4,2317.07,2335.87,2375.54,2480.1,2495.6499999999996,2534.55,2339.71,2478.69,2544.63,2562.7599999999998,2506.43,2510.92,2473.29,2481.73,2520.78,2607.15,2551.04,2431.44,2558.09
Total excluding LULUCF,F-Gas,8.06832564,8.57110969,9.15049374,9.78527821,10.47426287,11.22024783,11.96553398,12.738619219999999,13.51170465,14.27079014,16.43687571,17.89196173,19.01304865,21.617139260000002,23.85122529,23.73031171,26.76139828,28.83549499,30.78258132,32.639667599999996,35.0267532,36.5218385,35.8189335,40.893018399999995,43.6004032,44.921189037,48.4142754,51.60337417,58.1104681,62.177574699999994,56.688231099999996,57.292727766999995,48.64365213,36.33085209,32.74957767,32.29065698,28.946679630000002,31.5500228,34.738076299999996,35.214360600000006,39.6106454,37.401559999999996,29.78151,24.899800000000003,29.325,31.1983,29.225,28.2577,29.2109,22.5825,23.6188,20.9073,32.5723,35.148740000000004,34.9121,33.109700000000004,34.726,44.902669,52.5772,46.26240000000001,49.4657,49.692
Total excluding LULUCF,N2O,161.608678,170.723902,179.672246,184.47302599999998,187.010794,191.959084,205.669468,211.634236,217.082868,219.53481200000002,223.475564,233.942218,241.25901199999998,254.47739800000002,261.535826,267.293186,271.57097600000003,273.116702,281.121578,277.85907399999996,286.258502,284.90886,290.42722399999997,300.70941600000003,301.160588,306.27397,311.87219799999997,315.425848,308.44966800000003,297.339632,282.783524,265.794842,245.6712,226.75982199999999,197.07038,181.92304000000001,172.05626,169.7557,162.91361999999998,157.33506,160.40446,161.28058000000001,163.38148,160.37466,164.02218,164.6003,166.0754,167.08562,175.07798,169.98218,167.27038000000002,178.6808,173.77870000000001,179.1576,180.70124,180.43601999999998,189.31344,190.0942,194.27812,198.96268,200.39904,200.89968
Waste,CH4,44.7265,46.45225,48.45475,50.493249999999996,52.5715,54.40675,56.29125,58.41525,60.32625,62.234500000000004,62.064,64.97475,66.131,67.52499999999999,69.245,70.2625,71.775,72.91,73.9075,74.0625,75.2125,76.24,78.00750000000001,79.3975,80.86,81.0525,82.71,83.8025,84.785,86.2125,86.1025,86.2375,83.7475,82.42999999999999,81.1075,81.635,81.7325,82.38625,82.95175,84.08425,85.2575,86.862,88.4275,90.17,92.3875,94.4125,96.825,99.50500000000001,103.82249999999999,106.3225,108.37,111.9675,114.42499999999998,116.39750000000001,119.735,121.82000000000001,124.055,126.18525000000001,128.6515,131.63,134.78275,137.48925
Waste,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03089,0.031939999999999996,0.032869999999999996,0.03395,0.03501,0.03604,0.03712,0.03813,0.039110000000000006,0.04012,0.04131,0.04228,0.04335,0.04446,0.045520000000000005,0.0467,0.04758,0.04847,0.04944,0.05031,0.07538500000000001,0.073604,0.069905,0.069082,0.064908,0.06467,0.063802,0.06764200000000001,0.07172,0.075569,0.08314,0.08911,0.073062,0.101709,0.109846,0.111305,0.10931300000000001,0.105211,0.108826,0.123279,0.161619,0.145828,0.097799,0.06759899999999999,0.07822,0.07312199999999999,0.06331099999999999,0.06986200000000001,0.10469200000000001,0.1273139,0.0746318,0.088114
Waste,N2O,3.64273561,3.763577888,3.9170225579999998,4.106734722,4.312479882,4.53321474,4.756810398,4.977634358,5.1829623179999995,5.365641384,5.162101722,5.215146616,5.263722404,5.3105092979999995,5.519115258,5.617457642,5.558452152000001,5.49408147,5.595702152,5.692554535999999,5.625801046,5.670799642,5.71460743,5.7610963239999995,5.860631602,6.025430072,6.077879562,6.197083138,6.249234926,6.298107522,6.113342456,5.8060532,5.510765,5.4482446,5.317214,5.303506,5.132454,5.1840079999999995,5.18222,5.066894,5.03918,5.114276,5.21351,5.2483759999999995,5.301122,5.42807,5.497206,5.636968,5.719216,5.738288,5.864044,5.905764,6.024666,6.061022,6.0958879999999995,6.0753260000000004,6.059979,6.052264674,6.1610308,6.274986,6.272602,6.358426
