"","code","iso","country","latitude","longitude","region"
"118",724,"ESP","Spain",40.463667,-3.74922,"Europe & Central Asia"
"119",729,"SDN","Sudan",12.862807,30.217636,"Sub-Saharan Africa"
"120",748,"SWZ","Eswatini",-26.522503,31.465866,"Sub-Saharan Africa"
"121",752,"SWE","Sweden",60.128161,18.643501,"Europe & Central Asia"
"122",757,"CHE","Switzerland",46.818188,8.227512,"Europe & Central Asia"
"123",762,"TJK","Tajikistan",38.861034,71.276093,"Europe & Central Asia"
"124",764,"THA","Thailand",15.870032,100.992541,"East Asia & Pacific"
"125",780,"TTO","Trinidad and Tobago",10.691803,-61.222503,"Latin America & Caribbean"
"126",784,"ARE","United Arab Emirates",23.424076,53.847818,"Middle East & North Africa"
"127",788,"TUN","Tunisia",33.886917,9.537499,"Middle East & North Africa"
"128",800,"UGA","Uganda",1.373333,32.290275,"Sub-Saharan Africa"
"129",804,"UKR","Ukraine",48.379433,31.16558,"Europe & Central Asia"
"130",818,"EGY","Egypt",26.820553,30.802498,"Middle East & North Africa"
"131",826,"GBR","United Kingdom",55.378051,-3.435973,"Europe & Central Asia"
"132",834,"TZA","United Rep. of Tanzania",-6.369028,34.888822,"Sub-Saharan Africa"
"133",842,"USA","USA",37.09024,-95.712891,"North America"
"134",854,"BFA","Burkina Faso",12.238333,-1.561593,"Sub-Saharan Africa"
"135",858,"URY","Uruguay",-32.522779,-55.765835,"Latin America & Caribbean"
"136",860,"UZB","Uzbekistan",41.377491,64.585262,"Europe & Central Asia"
"137",882,"WSM","Samoa",-13.759029,-172.104629,"East Asia & Pacific"
"138",894,"ZMB","Zambia",-13.133897,27.849332,"Sub-Saharan Africa"
"140",795,"TKM","Turkmenistan",38.969719,59.556278,"Europe & Central Asia"
"142",12,"DZA","Algeria",28.033886,1.659626,"Middle East & North Africa"
"143",266,"GAB","Gabon",-0.803689,11.609444,"Sub-Saharan Africa"
"144",598,"PNG","Papua New Guinea",-6.314993,143.95555,"East Asia & Pacific"
"145",368,"IRQ","Iraq",33.223191,43.679291,"Middle East & North Africa"
"146",682,"SAU","Saudi Arabia",23.885942,45.079162,"Middle East & North Africa"
"148",792,"TUR","Turkey",38.963745,35.243322,"Europe & Central Asia"
"149",862,"VEN","Venezuela",6.42375,-66.58973,"Latin America & Caribbean"
"150",344,"HKG","China, Hong Kong SAR",22.396428,114.109497,"East Asia & Pacific"
"151",196,"CYP","Cyprus",35.126413,33.429859,"Europe & Central Asia"
"152",148,"TCD","Chad",15.454166,18.732207,"Sub-Saharan Africa"
"153",226,"GNQ","Equatorial Guinea",1.650801,10.267895,"Sub-Saharan Africa"
"154",591,"PAN","Panama",8.537981,-80.782127,"Latin America & Caribbean"
"155",540,"NCL","New Caledonia",-20.904305,165.618042,"East Asia & Pacific"
"157",807,"MKD","North Macedonia",41.608635,21.745275,"Europe & Central Asia"
"158",8,"ALB","Albania",41.153332,20.168331,"Europe & Central Asia"
"159",728,"SSD","South Sudan",6.877,31.307,"Sub-Saharan Africa"
"160",887,"YEM","Yemen",15.552727,48.516388,"Middle East & North Africa"
"162",533,"ABW","Aruba",12.52111,-69.968338,"Latin America & Caribbean"
"163",768,"TGO","Togo",8.619543,0.824782,"Sub-Saharan Africa"
"164",324,"GIN","Guinea",9.945587,-9.696645,"Sub-Saharan Africa"
"166",296,"KIR","Kiribati",-3.370417,-168.734039,"East Asia & Pacific"
"167",548,"VUT","Vanuatu",-15.376706,166.959158,"East Asia & Pacific"
"168",584,"MHL","Marshall Isds",7.131474,171.184478,"East Asia & Pacific"
"169",776,"TON","Tonga",-21.178986,-175.198242,"East Asia & Pacific"
"173",60,"BMU","Bermuda",32.321384,-64.75737,"North America"
"174",136,"CYM","Cayman Isds",19.513469,-80.566956,"Latin America & Caribbean"
"176",192,"CUB","Cuba",21.521757,-77.781167,"Latin America & Caribbean"
"177",531,"CUW","Curaçao",12.166667,-68.966667,"Latin America & Caribbean"
"178",624,"GNB","Guinea-Bissau",11.803749,-15.180413,"Sub-Saharan Africa"
"179",430,"LBR","Liberia",6.428055,-9.429499,"Sub-Saharan Africa"
"180",144,"LKA","Sri Lanka",7.873054,80.771797,"South Asia"
"182",462,"MDV","Maldives",3.202778,73.22068,"South Asia"
"183",450,"MDG","Madagascar",-18.766947,46.869107,"Sub-Saharan Africa"
"184",480,"MUS","Mauritius",-20.348404,57.552152,"Sub-Saharan Africa"
"187",50,"BGD","Bangladesh",23.684994,90.356331,"South Asia"
"189",262,"DJI","Djibouti",11.825138,42.590275,"Middle East & North Africa"
