LSOA_2011_Code,LSOA_2011,LA Name,2012,2013,2014,2015,2016,2017
E01000001,City of London 001A,City of London,5.8,3.4,9.1,4.1,4.3,4.2
E01000002,City of London 001B,City of London,6.4,1.5,2.9,2.3,2.7,2.1
E01000003,City of London 001C,City of London,5.9,4.6,6.3,7.1,6.1,5.5
E01000005,City of London 001E,City of London,4.3,8.8,10.4,6.9,7.1,7.9
E01032739,City of London 001F,City of London,3.4,3.2,3.4,4.7,4.7,16.7
E01032740,City of London 001G,City of London,3.9,3.8,3.2,4.9,5.7,8.8
E01000006,Barking and Dagenham 016A,Barking and Dagenham,12.5,10.6,10.9,8.2,11,15.4
E01000007,Barking and Dagenham 015A,Barking and Dagenham,8.3,9.4,10.2,8.5,10.3,19
E01000008,Barking and Dagenham 015B,Barking and Dagenham,8.9,7.8,7.6,8.8,8,17
E01000009,Barking and Dagenham 016B,Barking and Dagenham,13,9.1,9.4,8.8,11,30
E01000010,Barking and Dagenham 015C,Barking and Dagenham,13.3,10.1,9.5,10.8,12.1,13.2
E01000011,Barking and Dagenham 016C,Barking and Dagenham,17.3,12.7,11,12.3,15,12.6
E01000012,Barking and Dagenham 015D,Barking and Dagenham,11.2,10,9.9,11.4,11.6,10.2
E01000013,Barking and Dagenham 013A,Barking and Dagenham,12.1,9.7,8.8,8.9,11.2,14.8
E01000014,Barking and Dagenham 013B,Barking and Dagenham,11,9.2,9.3,12.0,12,12.8
E01000015,Barking and Dagenham 009A,Barking and Dagenham,13.9,10.7,10.5,12.8,12.5,14
E01000016,Barking and Dagenham 009B,Barking and Dagenham,11.3,8.5,9.8,8.7,11.3,14.5
E01000017,Barking and Dagenham 009C,Barking and Dagenham,11.7,7.6,7.6,6.9,6.1,14.8
E01000018,Barking and Dagenham 009D,Barking and Dagenham,11.7,9.6,10.2,9.6,8.3,13.3
E01000019,Barking and Dagenham 023A,Barking and Dagenham,11.3,5.4,6.8,6.9,6,16.6
E01000020,Barking and Dagenham 023B,Barking and Dagenham,10.3,12.8,12.4,10.2,11.9,12.8
E01000021,Barking and Dagenham 008A,Barking and Dagenham,12.6,12.6,11.3,10.2,11.5,12.9
E01000022,Barking and Dagenham 008B,Barking and Dagenham,10,12.4,11.9,9.9,11.6,16.1
E01000023,Barking and Dagenham 008C,Barking and Dagenham,11.8,12.1,10.8,10.6,11.9,10.9
E01000024,Barking and Dagenham 008D,Barking and Dagenham,12.3,11.7,11.2,9.5,12,13.4
E01000025,Barking and Dagenham 008E,Barking and Dagenham,10.2,9,9.7,8.8,10.1,12.7
E01000027,Barking and Dagenham 001A,Barking and Dagenham,6.2,8.4,10.2,8.3,9.8,10.2
E01000028,Barking and Dagenham 001B,Barking and Dagenham,8.2,7.3,9.1,6.5,8.6,12.5
E01000029,Barking and Dagenham 001C,Barking and Dagenham,8,9.7,10.3,9.2,11.2,11.4
E01000030,Barking and Dagenham 001D,Barking and Dagenham,8.9,10.5,10.3,9.9,12.7,15.2
E01000031,Barking and Dagenham 002A,Barking and Dagenham,8.6,9.6,9.4,8.1,9.3,12.2
E01000032,Barking and Dagenham 002B,Barking and Dagenham,11.3,13.2,12.7,10.7,12.2,12.9
E01000033,Barking and Dagenham 006A,Barking and Dagenham,11.4,11.5,12.1,9.1,11.2,11.9
E01000034,Barking and Dagenham 003A,Barking and Dagenham,7.3,11.6,10.9,9.1,10.8,11.5
E01000035,Barking and Dagenham 010A,Barking and Dagenham,11.7,11.1,11.1,9.6,11.1,9
E01000036,Barking and Dagenham 010B,Barking and Dagenham,11.7,12.8,12,10.6,12,11.3
E01000037,Barking and Dagenham 003B,Barking and Dagenham,8.6,11,10.3,9.9,10.4,6.9
E01000038,Barking and Dagenham 003C,Barking and Dagenham,8.6,16,11.7,11.4,14,13.2
E01000039,Barking and Dagenham 003D,Barking and Dagenham,5.1,13,12.6,8.7,11.2,12.9
E01000040,Barking and Dagenham 019A,Barking and Dagenham,11.3,9.1,10.2,13.6,13.1,16.4
E01000041,Barking and Dagenham 017A,Barking and Dagenham,11.4,14.1,13.1,10.8,12.7,17.8
E01000042,Barking and Dagenham 017B,Barking and Dagenham,10.9,10.5,10.1,8.6,9.6,15.3
E01000043,Barking and Dagenham 019B,Barking and Dagenham,11.2,12.7,12.2,9.8,11,13.5
E01000044,Barking and Dagenham 016D,Barking and Dagenham,13,9.6,9.4,11.2,13.2,13.1
E01000045,Barking and Dagenham 017C,Barking and Dagenham,12.6,12.2,11.9,9.3,11.1,14
E01000046,Barking and Dagenham 017D,Barking and Dagenham,11.4,12,12.4,9.4,11.6,13.1
E01000048,Barking and Dagenham 021B,Barking and Dagenham,9.3,12.5,12.5,10.3,12.8,16.9
E01000049,Barking and Dagenham 021C,Barking and Dagenham,10.6,11.9,12.1,8.4,10.6,12.6
E01000050,Barking and Dagenham 019C,Barking and Dagenham,11.1,8.8,9.8,8.5,10.6,13.6
E01000051,Barking and Dagenham 021D,Barking and Dagenham,10.9,11.5,10.4,10.7,12.6,9.2
E01000052,Barking and Dagenham 019D,Barking and Dagenham,11.9,9.6,10.1,7.7,10.6,11.5
E01000053,Barking and Dagenham 020A,Barking and Dagenham,7.5,8.4,7.2,7.4,9.4,13.1
E01000054,Barking and Dagenham 018A,Barking and Dagenham,11.5,9.2,9.2,9.2,10.5,11.8
E01000055,Barking and Dagenham 018B,Barking and Dagenham,10.6,9.7,9.7,9.7,11.1,14.1
E01000056,Barking and Dagenham 018C,Barking and Dagenham,8.2,11.7,10.1,10.5,11.5,13.2
E01000057,Barking and Dagenham 012A,Barking and Dagenham,11.3,12.3,10.6,13.1,13.7,13.5
E01000058,Barking and Dagenham 018D,Barking and Dagenham,11.2,8.4,7.5,10.9,11,11.1
E01000059,Barking and Dagenham 013C,Barking and Dagenham,9.7,12.5,12.2,9.7,10.9,9.4
E01000060,Barking and Dagenham 006B,Barking and Dagenham,8.6,11.5,11.8,9.4,10.4,11.6
E01000061,Barking and Dagenham 006C,Barking and Dagenham,10.3,11.3,11.5,9.1,10.8,14.3
E01000062,Barking and Dagenham 006D,Barking and Dagenham,9.8,13.7,11.7,11.5,14.1,14.5
E01000063,Barking and Dagenham 004A,Barking and Dagenham,10.4,12.6,12.6,9.5,11.3,11
E01000064,Barking and Dagenham 006E,Barking and Dagenham,9.7,12.4,11.8,10.4,11.9,12.2
E01000065,Barking and Dagenham 007A,Barking and Dagenham,10.2,10.9,10.7,8.6,9.9,10.9
E01000066,Barking and Dagenham 011A,Barking and Dagenham,8.7,12.5,11.7,9.7,12,18.2
E01000067,Barking and Dagenham 011B,Barking and Dagenham,10.8,12.9,12.9,9.7,11.6,11.1
E01000068,Barking and Dagenham 016E,Barking and Dagenham,12.3,14.2,13.3,12.3,14.2,12.7
E01000069,Barking and Dagenham 011C,Barking and Dagenham,10.4,12.3,12.2,10.1,11.8,11.3
E01000070,Barking and Dagenham 011D,Barking and Dagenham,11.1,10.4,10.9,7.9,11.4,13.9
E01000071,Barking and Dagenham 011E,Barking and Dagenham,9.8,8.1,8.1,7.8,10.3,12.2
E01000072,Barking and Dagenham 017E,Barking and Dagenham,12.8,8.2,8.3,9.7,10.1,12
E01000073,Barking and Dagenham 012B,Barking and Dagenham,11.4,8.8,8.5,7.4,9.5,16.8
E01000074,Barking and Dagenham 012C,Barking and Dagenham,11,6.3,5.7,8.3,8.2,13.9
E01000075,Barking and Dagenham 012D,Barking and Dagenham,12,11.3,9.9,8.1,13.6,13.3
E01000076,Barking and Dagenham 012E,Barking and Dagenham,11.7,9,8.9,17.8,13.7,15.1
E01000077,Barking and Dagenham 008F,Barking and Dagenham,11.9,11.3,8,13.3,13.3,12.7
E01000078,Barking and Dagenham 007B,Barking and Dagenham,12.6,13.7,12.1,12.8,12.7,13.8
E01000079,Barking and Dagenham 009E,Barking and Dagenham,11.4,14.1,12,15.9,14.1,12.4
E01000080,Barking and Dagenham 007C,Barking and Dagenham,12.1,27.1,24.8,23.8,21,13.3
E01000081,Barking and Dagenham 007D,Barking and Dagenham,11.2,15.4,13.1,13.9,14.9,14.6
E01000082,Barking and Dagenham 007E,Barking and Dagenham,10.7,14.4,12.7,12.9,13.2,13.7
E01000083,Barking and Dagenham 007F,Barking and Dagenham,10.9,12.3,11.2,9.8,11.5,16.8
E01000084,Barking and Dagenham 013D,Barking and Dagenham,12,11.4,12,10.3,13,13.3
E01000085,Barking and Dagenham 013E,Barking and Dagenham,12.8,13,11.9,10.3,12.2,17.7
E01000086,Barking and Dagenham 013F,Barking and Dagenham,10.1,10.9,10.6,9.0,11.1,15.3
E01000087,Barking and Dagenham 020B,Barking and Dagenham,10.9,10.9,11,9.5,11.2,14.4
E01000088,Barking and Dagenham 020C,Barking and Dagenham,11.2,12.1,11.1,9.7,11.4,14.3
E01000089,Barking and Dagenham 020D,Barking and Dagenham,13.7,12.1,12.1,9.9,11.7,13.6
E01000090,Barking and Dagenham 020E,Barking and Dagenham,13.2,9.4,8.7,8.4,10.1,12.4
E01000091,Barking and Dagenham 022A,Barking and Dagenham,8.8,11.2,10.4,11.1,12.3,15.2
E01000092,Barking and Dagenham 019E,Barking and Dagenham,9.9,9.5,8.5,7.2,9.4,6.5
E01000093,Barking and Dagenham 022B,Barking and Dagenham,10.1,11.9,10.7,11.0,12.1,10.2
E01000094,Barking and Dagenham 022C,Barking and Dagenham,7,15.6,14.7,13.1,16.7,12.8
E01000095,Barking and Dagenham 018E,Barking and Dagenham,7.4,18.6,14.9,13.9,15.8,12.1
E01000096,Barking and Dagenham 022D,Barking and Dagenham,11.3,13.9,13.2,13.0,13.5,16.3
E01000097,Barking and Dagenham 023C,Barking and Dagenham,8.6,10.8,12.6,10.1,11.3,12.1
E01000098,Barking and Dagenham 023D,Barking and Dagenham,12.4,8.1,6.5,7.1,7.9,11.6
E01000099,Barking and Dagenham 023E,Barking and Dagenham,10.7,14,13.1,11.0,14.4,13.6
E01000100,Barking and Dagenham 004B,Barking and Dagenham,10.4,12.4,11.2,10.1,13.4,11.7
E01000101,Barking and Dagenham 004C,Barking and Dagenham,10.1,13,11,9.0,13.7,14.7
E01000102,Barking and Dagenham 007G,Barking and Dagenham,10.8,12.5,11.6,9.9,13.4,11.4
E01000103,Barking and Dagenham 014A,Barking and Dagenham,6.8,9.5,8.7,7.6,12.8,10.7
E01000104,Barking and Dagenham 014B,Barking and Dagenham,8.1,11,10.5,8.2,12.6,12.6
E01000105,Barking and Dagenham 014C,Barking and Dagenham,7.8,9.2,8.1,6.6,10.3,12.6
E01000106,Barking and Dagenham 014D,Barking and Dagenham,8.7,6.1,6,10.9,10.4,10.4
E01000107,Barking and Dagenham 010C,Barking and Dagenham,10.5,6.6,6,9.7,10.9,11.9
E01000108,Barking and Dagenham 010D,Barking and Dagenham,8.8,11,11,9.2,11.3,12.9
E01000109,Barking and Dagenham 004D,Barking and Dagenham,10.4,10.1,10,9.0,11.5,12.3
E01000110,Barking and Dagenham 002C,Barking and Dagenham,10.7,5.3,4.4,5.3,6.8,12.6
E01000111,Barking and Dagenham 002D,Barking and Dagenham,9.1,12.6,12.4,7.6,11.4,13.6
E01000112,Barking and Dagenham 002E,Barking and Dagenham,10.2,13.8,12.3,11.7,13.4,11.8
E01000113,Barking and Dagenham 002F,Barking and Dagenham,11.3,12.1,11.6,9.3,11.3,12.8
E01000114,Barking and Dagenham 004E,Barking and Dagenham,10.2,11.4,12,9.7,10.6,10.6
E01032580,Barking and Dagenham 023F,Barking and Dagenham,14.3,13.3,13.1,10.8,12.2,9.1
E01033587,Barking and Dagenham 021E,Barking and Dagenham,8.2,10.6,10.3,10.2,11.1,10.3
E01033588,Barking and Dagenham 021F,Barking and Dagenham,8.4,13.7,13.3,12.5,13.7,12.7
E01000115,Barnet 009A,Barnet,12.4,9.6,12.6,7.7,8.5,12.7
E01000116,Barnet 009B,Barnet,10.3,8,9.4,5.8,7.8,8.5
E01000117,Barnet 010A,Barnet,10.7,6.8,7.7,8.4,9.3,12.8
E01000118,Barnet 010B,Barnet,9.9,11.2,13.8,7.6,9.4,8.4
E01000119,Barnet 009C,Barnet,11.8,8,8.7,6.4,7.4,11
E01000120,Barnet 009D,Barnet,10.6,9.2,9.4,7.2,8.8,11.3
E01000121,Barnet 010C,Barnet,6.1,8.9,9.5,8.5,9.7,11.6
E01000122,Barnet 009E,Barnet,10.6,8.1,7.8,7.2,9.2,13
E01000123,Barnet 010D,Barnet,9.5,6.6,6.9,5.1,5.6,13.5
E01000124,Barnet 010E,Barnet,9.1,6.6,7.6,7.2,8,14.4
E01000125,Barnet 024A,Barnet,9.8,5.5,6.3,5.9,6.5,12.5
E01000126,Barnet 026A,Barnet,8.7,7.7,7.5,6.1,8,13.9
E01000127,Barnet 024B,Barnet,12.2,10.5,9.7,7.3,8.9,15.6
E01000128,Barnet 024C,Barnet,11.8,7.3,9.4,7.0,7.8,16.7
E01000129,Barnet 024D,Barnet,14,9.9,9.8,6.9,8.7,12.4
E01000130,Barnet 021A,Barnet,9.8,6.1,5.2,5.6,6.4,16.3
E01000131,Barnet 024E,Barnet,9.9,9.1,9.1,8.5,10.8,15.9
E01000132,Barnet 021B,Barnet,13,10.5,10.2,7.4,9,10.8
E01000133,Barnet 021C,Barnet,11.4,11,10.7,9.0,12.9,16.7
E01000134,Barnet 024F,Barnet,9.4,7.6,7.4,5.4,8.4,13
E01000135,Barnet 038A,Barnet,13.8,7.5,8.1,6.9,7.8,17.3
E01000136,Barnet 038B,Barnet,12.6,9.3,9,7.4,8.7,20.4
E01000137,Barnet 041A,Barnet,9.4,6.1,7.1,9.9,9.3,11.5
E01000138,Barnet 040A,Barnet,14.2,9.2,9.1,6.4,7.5,12.8
E01000139,Barnet 041B,Barnet,10.3,6.1,7.3,6.3,6.9,20.1
E01000140,Barnet 041C,Barnet,12.9,9.3,9.8,8.9,10.5,21.5
E01000141,Barnet 039A,Barnet,16.4,8.2,9.8,11.2,10.7,15.5
E01000142,Barnet 040B,Barnet,7.4,8.2,8.8,6.2,8,17.5
E01000143,Barnet 041D,Barnet,11.5,10.3,10.7,10.4,11.2,14.8
E01000144,Barnet 038C,Barnet,14.4,8.4,8.1,5.9,7.4,12.2
E01000145,Barnet 037A,Barnet,15.5,10.1,10.4,7.4,10,13.3
E01000146,Barnet 038D,Barnet,13.6,6.9,7.2,4.4,10,12
E01000147,Barnet 030A,Barnet,12.9,7.4,8.7,4.2,9.7,12.2
E01000148,Barnet 030B,Barnet,11.5,8.9,9.4,4.7,9,14.5
E01000150,Barnet 036A,Barnet,12,8.8,9.1,9.6,11.3,8.5
E01000151,Barnet 026B,Barnet,10.4,7.3,7.5,6.1,7.7,12.3
E01000152,Barnet 026C,Barnet,8.1,7.6,8,5.6,7.4,8.3
E01000153,Barnet 026D,Barnet,8.3,6.9,8.5,5.2,9.8,14.2
E01000154,Barnet 026E,Barnet,8.8,7.2,7.9,7.7,8.6,11.7
E01000155,Barnet 030D,Barnet,7.8,9.8,10.4,10.0,9.3,11.4
E01000156,Barnet 022A,Barnet,12.3,9.8,9.5,5.9,6.1,10
E01000157,Barnet 022B,Barnet,8.8,11.9,11.1,6.1,9,13.6
E01000158,Barnet 015A,Barnet,11,11.2,11.2,7.7,9.3,8.9
E01000159,Barnet 015B,Barnet,10.4,11.3,10.5,7.5,8.1,9.7
E01000160,Barnet 015C,Barnet,11.2,11.5,10.8,7.8,9.5,4.5
E01000161,Barnet 015D,Barnet,8.8,10.9,10.1,8.1,10.1,8.7
E01000162,Barnet 015E,Barnet,12.5,7.6,7.9,7.6,8.6,10.6
E01000163,Barnet 022C,Barnet,6.5,9.4,9.5,7.8,9.2,12.1
E01000164,Barnet 022D,Barnet,8.3,6.7,6.3,6.5,8.2,9.2
E01000165,Barnet 022E,Barnet,4.7,8.5,8.6,7.8,8.3,10.5
E01000166,Barnet 003A,Barnet,6.6,7.9,8.8,12.4,11.7,10.2
E01000167,Barnet 002A,Barnet,7,8.3,8.2,9.4,9.8,10.1
E01000168,Barnet 003B,Barnet,10.1,9,9.7,5.0,9.5,8
E01000169,Barnet 003C,Barnet,8.2,10.8,9.8,9.8,12.5,12.3
E01000170,Barnet 006A,Barnet,9.9,9.2,9.7,6.4,6.2,8.9
E01000171,Barnet 006B,Barnet,11.3,9.1,8.2,10.7,11.1,9.3
E01000172,Barnet 003D,Barnet,8.7,8.1,8.6,8.1,6.7,9
E01000173,Barnet 006C,Barnet,8.5,8.4,9.3,9.3,8,10.3
E01000174,Barnet 006D,Barnet,9.6,11,10.8,4.9,8.5,5.6
E01000175,Barnet 006E,Barnet,8.7,6.2,6.5,7.3,7.5,9.5
E01000176,Barnet 027A,Barnet,7,12.6,14.9,11.7,8.1,11.9
E01000177,Barnet 029A,Barnet,9.4,7.6,7.3,8.3,9.8,10.5
E01000178,Barnet 027B,Barnet,9.9,9.9,9.5,9.5,11.4,8.6
E01000179,Barnet 029B,Barnet,7,9.5,8.7,7.7,10,12.1
E01000180,Barnet 029C,Barnet,5.4,11.1,9.1,10.2,11.5,10.1
E01000181,Barnet 029D,Barnet,9.2,9.2,8.6,6.8,8.3,12.5
E01000182,Barnet 029E,Barnet,8,10.5,9.6,8.7,10.2,9.9
E01000183,Barnet 033A,Barnet,7.9,11.3,10.5,5.9,9.7,14
E01000184,Barnet 027C,Barnet,7.7,8.6,8.2,5.5,8.7,14.8
E01000185,Barnet 029F,Barnet,7.3,9.3,10.1,6.1,9.6,13.7
E01000186,Barnet 014A,Barnet,11.7,8.3,10.2,9.8,12.3,11.2
E01000187,Barnet 014B,Barnet,8.5,10.3,10,6.5,9.6,15.1
E01000188,Barnet 014C,Barnet,11.8,9.1,8.6,5.9,8.3,14.9
E01000189,Barnet 014D,Barnet,11.8,10.7,11.1,10.6,10.8,15.8
E01000190,Barnet 014E,Barnet,11.7,9.3,9.4,7.5,9.3,11.4
E01000191,Barnet 014F,Barnet,10.3,8.1,9.4,11.3,7.4,11
E01000192,Barnet 018A,Barnet,13,8.4,9.3,8.4,6.9,21.2
E01000193,Barnet 018B,Barnet,12.3,11.9,11.7,10.0,12.3,12.1
E01000194,Barnet 018C,Barnet,13.5,11.1,10.8,8.5,9.9,9
E01000195,Barnet 013A,Barnet,7.9,7.9,8,7.1,10.4,8.6
E01000196,Barnet 028A,Barnet,10.6,8.7,9.3,6.8,7.6,13.9
E01000197,Barnet 023A,Barnet,12.9,8.6,9.6,4.5,10.3,15.8
E01000198,Barnet 025A,Barnet,10.7,9.8,10.4,11.5,12.3,12.2
E01000199,Barnet 025B,Barnet,8.4,10.4,11.1,8.8,11.3,13.8
E01000200,Barnet 028B,Barnet,7.3,8.4,8.3,8.1,8.5,10.9
E01000201,Barnet 028C,Barnet,11.2,8.3,9.4,6.4,6.8,13.6
E01000202,Barnet 028D,Barnet,12.3,8.5,7.7,8.1,10.8,14.8
E01000203,Barnet 028E,Barnet,9.8,11.4,10.7,11.2,12.6,10
E01000204,Barnet 025C,Barnet,11.9,11.4,11.3,11.1,12.8,12.2
E01000205,Barnet 035A,Barnet,10.7,12.9,12.2,15.8,16.7,11.3
E01000206,Barnet 033B,Barnet,10,13.9,12.1,11.7,14.1,11.3
E01000207,Barnet 033C,Barnet,12.3,11.9,10.9,9.1,11.4,16.1
E01000208,Barnet 033D,Barnet,10.5,12.7,15.3,15.7,11,15.5
E01000209,Barnet 035B,Barnet,12.1,9.8,10.7,7.9,6.2,11
E01000210,Barnet 033E,Barnet,9.5,7.7,9.1,10.1,7.6,15.5
E01000211,Barnet 035C,Barnet,10.3,10.7,11.2,9.9,7.4,14.5
E01000212,Barnet 035D,Barnet,11.9,14.3,15.2,11.0,11.4,17.3
E01000213,Barnet 033F,Barnet,12.2,10,10.1,11.5,9.1,18.3
E01000214,Barnet 038E,Barnet,9,11.4,11.2,6.6,9.2,19.7
E01000215,Barnet 037B,Barnet,12.2,12.8,11.4,7.3,8.3,21.8
E01000216,Barnet 035E,Barnet,12.5,10,9.8,8.0,6.9,11.8
E01000217,Barnet 035F,Barnet,15.3,9.1,9,6.9,5.1,19.8
E01000218,Barnet 037C,Barnet,14.8,11.8,14.9,11.2,8,13.3
E01000219,Barnet 037D,Barnet,13.6,10.1,8.6,11.0,12.7,18.7
E01000220,Barnet 037E,Barnet,14.2,12.9,12.3,12.3,14.3,14.3
E01000221,Barnet 039B,Barnet,7.6,13.8,13.6,11.8,14.3,14.7
E01000222,Barnet 040C,Barnet,12.7,8.3,8.7,8.2,8.7,12.7
E01000223,Barnet 039C,Barnet,11.5,12.7,12.7,11.7,14.2,12.8
E01000224,Barnet 040D,Barnet,14.6,9.7,12.1,8.2,7.4,12.1
E01000225,Barnet 037F,Barnet,13.7,6.7,6.8,8.6,8.1,11
E01000226,Barnet 018D,Barnet,12.7,4.9,4.8,7.9,8.4,11.9
E01000227,Barnet 018E,Barnet,11,7.6,7.8,7.9,10,10.9
E01000228,Barnet 007A,Barnet,10,4.3,2.8,3.6,3.5,12.5
E01000229,Barnet 013B,Barnet,9.3,10,9.2,8.2,10.9,10.9
E01000230,Barnet 013C,Barnet,9,16,17.4,14.8,10.4,15.9
E01000231,Barnet 013D,Barnet,11.5,13,13.9,11.7,7.7,12.8
E01000232,Barnet 013E,Barnet,11.7,10.8,12.1,11.6,7.6,15.4
E01000233,Barnet 013F,Barnet,12.2,11.1,13,14.0,10,14.9
E01000234,Barnet 021D,Barnet,10.3,7.6,6.8,9.6,10,10.5
E01000235,Barnet 021E,Barnet,13.1,12,11.4,11.3,13.4,18.2
E01000236,Barnet 034A,Barnet,12.3,13,11.6,12.3,14.2,13
E01000237,Barnet 032A,Barnet,13.7,12.3,11.7,12.7,13.6,11.3
E01000238,Barnet 034B,Barnet,14.5,10.5,8.5,11.8,13.7,14.5
E01000239,Barnet 031A,Barnet,8.2,10.5,9.2,10.2,11.3,16
E01000240,Barnet 031B,Barnet,13.8,9.2,8.4,7.8,9.7,12
E01000241,Barnet 031C,Barnet,11.9,6.5,6.5,4.5,6,10.1
E01000242,Barnet 032B,Barnet,10.6,10.4,12.8,7.9,7.3,7.3
E01000243,Barnet 032C,Barnet,12.3,10.6,10.6,9.8,10.6,10.2
E01000244,Barnet 032D,Barnet,17.7,8.8,7.5,8.3,9.5,10.1
E01000245,Barnet 032E,Barnet,9.3,7.3,6.3,8.5,10.6,9.1
E01000246,Barnet 002B,Barnet,8.8,11,9.6,8.9,12.7,8.7
E01000247,Barnet 002C,Barnet,6.2,9.2,8.5,8.0,11.3,7.8
E01000248,Barnet 001A,Barnet,10.7,8.2,8.2,8.5,11.6,13.3
E01000249,Barnet 001B,Barnet,10.1,10.8,10.5,10.4,13,12
E01000250,Barnet 001C,Barnet,9.9,9.6,10,6.9,8.4,12
E01000251,Barnet 002D,Barnet,7.8,8.9,10.5,7.4,6.8,10.5
E01000252,Barnet 002E,Barnet,6.8,8,10.7,9.8,11.8,9.1
E01000253,Barnet 007B,Barnet,10.8,10.5,11.8,12.2,10.6,11.4
E01000254,Barnet 001D,Barnet,9.8,11.1,13.6,12.9,11.1,12.9
E01000255,Barnet 017A,Barnet,10.9,11.9,12.9,9.6,8.7,11.5
E01000256,Barnet 016A,Barnet,9.1,8.1,8.7,10.8,7.7,10.1
E01000257,Barnet 017B,Barnet,8.9,6.6,7.5,5.7,5,13.6
E01000258,Barnet 016B,Barnet,10.4,8.1,9.4,4.9,9.2,12.2
E01000259,Barnet 025D,Barnet,12.3,11.5,13.8,8.3,8,14.7
E01000260,Barnet 025E,Barnet,10.7,9.1,8.9,7.7,9.3,10.3
E01000261,Barnet 017C,Barnet,8.3,8.1,10.2,8.1,5.1,12.3
E01000262,Barnet 017D,Barnet,12,4.9,6.5,5.0,3.5,10.5
E01000263,Barnet 016C,Barnet,10.7,7,8.5,8.0,6.9,9
E01000264,Barnet 016D,Barnet,13.1,11.6,14.7,9.5,6.6,10.9
E01000265,Barnet 011A,Barnet,11.4,9.5,13.3,10.1,5.9,8.3
E01000266,Barnet 011B,Barnet,11.3,7.4,7.6,7.6,10.1,10.4
E01000267,Barnet 005A,Barnet,9,15.3,12,16.6,18.5,11.3
E01000268,Barnet 005B,Barnet,10.9,10.3,8.8,14.0,14.4,9.7
E01000269,Barnet 005C,Barnet,10.2,5.6,7,11.4,9.3,12.8
E01000270,Barnet 005D,Barnet,8.1,10.6,10.1,14.6,14.3,10.5
E01000271,Barnet 008A,Barnet,8.2,5.6,7.4,14.3,12.9,14.6
E01000272,Barnet 008B,Barnet,9.9,7.7,6.3,11.9,9.8,10
E01000273,Barnet 008C,Barnet,8.4,14.5,13,12.4,15.2,16.3
E01000274,Barnet 011C,Barnet,10.6,8.8,10.4,11.0,10.6,11.9
E01000275,Barnet 012A,Barnet,8,13.5,14.7,14.4,13.7,12.6
E01000276,Barnet 020A,Barnet,10,10.2,12.1,12.6,10.9,13
E01000277,Barnet 012B,Barnet,6.7,8.8,8.3,6.6,8.6,10.6
E01000278,Barnet 020B,Barnet,11.6,10.8,11.2,13.6,11,13
E01000279,Barnet 007C,Barnet,12.5,17.4,19.3,13.7,14.2,7.8
E01000280,Barnet 007D,Barnet,11.6,8.5,8.7,10.7,11.1,7
E01000281,Barnet 008D,Barnet,6.4,11.5,11.2,11.2,10.5,10.5
E01000282,Barnet 008E,Barnet,10.3,7.2,7.7,6.4,5,12.1
E01000283,Barnet 012C,Barnet,10.1,8.2,9.5,5.9,8.7,10.7
E01000284,Barnet 012D,Barnet,6.9,9.6,11.6,9.2,9.2,12.9
E01000285,Barnet 004A,Barnet,6.6,6.2,7.7,5.6,6,11.6
E01000286,Barnet 007E,Barnet,7.4,9.6,9.6,6.7,7.6,10
E01000287,Barnet 004B,Barnet,10,9.1,11.1,6.3,11,9.4
E01000288,Barnet 004C,Barnet,10,8.3,8.6,7.9,8,10.9
E01000289,Barnet 004D,Barnet,8.3,13.4,13.2,11.9,13.5,8.8
E01000290,Barnet 007F,Barnet,7.2,12.7,11.9,15.7,14.6,16.1
E01000291,Barnet 004E,Barnet,8.7,11,11.8,7.7,11.7,13.1
E01000292,Barnet 001E,Barnet,9.5,10.3,10.6,6.2,6.3,10.7
E01000293,Barnet 001F,Barnet,12.6,11.8,13.6,6.8,6.3,13.5
E01000294,Barnet 004F,Barnet,7.8,8.9,8.8,11.1,8.5,16.1
E01000295,Barnet 023B,Barnet,11,11.1,13.4,8.4,8.5,11.2
E01000296,Barnet 023C,Barnet,11.1,9,9.9,7.8,7.1,14.6
E01000297,Barnet 027D,Barnet,9.4,10.2,11.3,7.9,9.5,9.4
E01000298,Barnet 023D,Barnet,11.8,11.2,10.9,14.6,14.4,11
E01000299,Barnet 019A,Barnet,9.7,11.1,9.5,15.3,14.4,13.7
E01000300,Barnet 019B,Barnet,8.9,13.4,12.1,16.3,14.4,15.1
E01000301,Barnet 020C,Barnet,12.1,10,8.5,9.5,11.7,15.6
E01000302,Barnet 019C,Barnet,7.5,8,6.7,10.7,9.6,15.9
E01000303,Barnet 020D,Barnet,9.9,12,12.1,15.4,13,13.3
E01000304,Barnet 020E,Barnet,11,16.7,16.6,9.3,9.6,18.9
E01000305,Barnet 036B,Barnet,10.8,9.8,10.4,7.5,7.7,16.7
E01000306,Barnet 036C,Barnet,12.9,11.3,11.5,9.8,8.2,15.8
E01000307,Barnet 039D,Barnet,11.9,13.3,14.9,12.2,11.4,10
E01000308,Barnet 036D,Barnet,9.7,15.4,18,11.8,10.7,16.2
E01000309,Barnet 031D,Barnet,14.3,9.1,9.4,5.2,9,15.5
E01000310,Barnet 034C,Barnet,13.1,10.4,11,8.0,8.8,11.7
E01000311,Barnet 034D,Barnet,15.2,10.5,12,8.5,9,13.1
E01000312,Barnet 036E,Barnet,6.9,13.9,16,11.5,8.6,12.2
E01000313,Barnet 036F,Barnet,12,9.7,10.8,10.9,8.1,14.9
