"Acorn_grouped","DateTime","Average_KWH"
"Comfortable",2013-01-19 03:30:00,0.11806875
"Comfortable",2013-01-19 04:00:00,0.1138
"Comfortable",2013-01-19 04:30:00,0.119084375
"Comfortable",2013-01-19 05:00:00,0.124221875
"Comfortable",2013-01-19 05:30:00,0.14333125
"Comfortable",2013-01-19 06:00:00,0.14838125
"Comfortable",2013-01-19 06:30:00,0.174696875
"Comfortable",2013-01-19 07:00:00,0.1881218753125
"Comfortable",2013-01-19 07:30:00,0.199984375625
"Comfortable",2013-01-19 08:00:00,0.237630093103448
"Comfortable",2013-01-19 08:30:00,0.2975562490625
"Comfortable",2013-01-19 09:00:00,0.309406250625
"Comfortable",2013-01-19 09:30:00,0.3278000003125
"Comfortable",2013-01-19 10:00:00,0.360112500625
"Comfortable",2013-01-19 10:30:00,0.3524187490625
"Comfortable",2013-01-19 11:00:00,0.354271875625
"Comfortable",2013-01-19 11:30:00,0.3629062496875
"Comfortable",2013-01-19 12:00:00,0.347315625
"Comfortable",2013-01-19 12:30:00,0.341246874375
"Comfortable",2013-01-19 13:00:00,0.3810656246875
"Comfortable",2013-01-19 13:30:00,0.3557999990625
"Comfortable",2013-01-19 14:00:00,0.4071468740625
"Comfortable",2013-01-19 14:30:00,0.3777093753125
"Comfortable",2013-01-19 15:00:00,0.3796593753125
"Comfortable",2013-01-19 15:30:00,0.3750968765625
"Comfortable",2013-01-19 16:00:00,0.3882062484375
"Comfortable",2013-01-19 16:30:00,0.4175906246875
"Comfortable",2013-01-19 17:00:00,0.42400000125
"Comfortable",2013-01-19 17:30:00,0.3711687490625
"Comfortable",2013-01-19 18:00:00,0.374865625625
"Comfortable",2013-01-19 18:30:00,0.3599531246875
"Comfortable",2013-01-19 19:00:00,0.370896875
"Comfortable",2013-01-19 19:30:00,0.38212812375
"Comfortable",2013-01-19 20:00:00,0.357009374375
"Comfortable",2013-01-19 20:30:00,0.326668748125
"Comfortable",2013-01-19 21:00:00,0.3323281253125
"Comfortable",2013-01-19 21:30:00,0.320321875
"Comfortable",2013-01-19 22:00:00,0.3073593746875
"Comfortable",2013-01-19 22:30:00,0.2822468753125
"Comfortable",2013-01-19 23:00:00,0.2588968746875
"Comfortable",2013-01-19 23:30:00,0.260303125
