Acorn_grouped,TariffType,Cost
Adversity,cost,404.19585072510563
Adversity,custom_cost,403.4888173105307
Affluent,cost,528.7702575163222
Affluent,custom_cost,528.9097938899905
Comfortable,cost,461.84271661980415
Comfortable,custom_cost,460.56946962094446
