Country Code,Country,sector,gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,Afghanistan,Total excluding LULUCF,CO2,943469844,821689963.5,587182253.3,784040909.3,701754424.9,734793166.4,945945923.6,940074953.9,793834316.2,1075487727,940261610.8,880340851.4,922286402.3,957642687.3,1016771461,1015736745,1130776800,1110275721,1369294651,1491105004,1811802648,1559994578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270306102,3272144064,4839610008,4139425083,3788742171,3946509932,2287173118,1781371743,1833142034,1435896219,1895934959,2281586070,2518074542,2324934601,2551628516,2267650499,2063226123,1970592321,2117488140,0
AFG,Afghanistan,Total excluding LULUCF,N2O,168656404.4,172141032.3,173061503.7,233380310.4,244051264.3,298944775.8,404998833.3,471866622.9,371653325.1,381275417.3,473286045.7,499565933,558894885.9,548731563.9,628991974.9,635346742.6,664782156.8,786548795.7,893050473.3,1025553389,1001684267,964775614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143528161,1222006605,1425977740,1615196302,1901916734,2703388855,2589606328,2954962409,3410918645,3665564524,4098348307,4122279628,3975855757,4063845842,3555194958,3515704254,3786331497,3667756115,3668685681,0
AFG,Afghanistan,Waste,CH4,486676752.1,486819419.6,474331173.8,637886361.9,663900451.8,816768063.3,1111111085,1297157688,1040404066,1041692364,1377076060,1395130645,1184085696,1251504162,1517996830,1626574994,1709401717,1933442500,2125603935,2362901220,2334438027,2255291999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530256440,1612699574,1786932926,2035782828,2213106538,2999347548,3040392536,3572995985,4435434572,4812192735,5170731705,5068277986,4969000429,4502167474,4140928563,4167437696,3946060892,3978719734,4147657181,0
AFG,Afghanistan,Waste,N2O,15557099372,15349242047,14675615511,19240514143,19453361648,23297075631,30907805700,35315803850,27930310494,27648041956,33535696951,33394896611,27742036304,28794824640,34119847695,35935901728,37285607922,41466589228,44652523666,48097658941,45769842923,42296322208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23873658107,24963561624,26655814901,30462035524,33371720146,45056480910,44754410153,52342927089,64186165089,68993881919,74308206232,72772213017,72555173626,67304784391,63658464686,64944381982,61069862859,60081338265,63087679000,0
AGO,Angola,Agriculture,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527155857.9,587352702.2,505738773.2,534350262.9,793718455,950133391.1,927483717.5,709111580,1235105711,1229048077,747338766.3,702237386.8,548370361.3,382668021.4,293928544.2,369249950.7,550380007.8,564455897.6,434472761.7,441069745,633999640.2,608931088.4,973604766.1,1000713754,1321292973,2085806415,3189102398,3729511547,5309661817,4203717007,4668546065,6047156727,7278020378,7546099291,8035190616,4920693373,2815847120,3831820210,4794634211,3839839601,3046538135,4110310805
AGO,Angola,Agriculture,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542262074.2,620859400,526152033.9,556175996.2,871839817,1034592584,1027348753,729222776.6,1368698385,1306560152,743203537.3,700456094.5,547712383.4,381817006.3,294341792.3,368047661.6,557539342.9,576757213.9,442859741.5,453788844.5,654620175.7,626029040,988322589.1,1002922437,1319427639,2106341011,3237112172,3769620308,5411829367,4281852820,4726889385,6106374158,7397938047,7629208971,8122465435,4960714937,2825168580,3819343688,4816423146,3812801453,3044496938,4105333234
AGO,Angola,Energy,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108505309,1121309704,1150359178,960056696.4,915145532.1,1045475496,846953694.1,804365374.3,729251605,839596628.7,882417678.8,878160210.4,776430932.1,415763634,187666850.6,194342079.3,216588391.5,210989721.7,165763811.6,156762368,251850891.6,260906970,456286412.8,543899384,697838437,1087379962,1717410062,2250567313,2902905272,2383293794,2438792721,3516129032,3906250000,4124031008,4384000000,2643008789,1545441675,2207128441,2469617145,2182963931,1688789643,2303078911
AGO,Angola,Energy,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414720517.6,411146891.6,433631487.2,428469747.9,450843754.8,563698541.7,527765921.3,546207568.4,635452938.4,739210075.3,1049417286,963980412.8,722418345.6,484766422,467683984.9,301018981.5,385971620.8,466364476.4,380481263.6,341829052.4,549975591.5,548224768.3,932048465.1,984127338.4,1453830077,2432297283,3099467863,3750945522,4785870854,3463407238,3583313866,4560669456,4940711462,5384615385,3816155989,3230344075,1748789264,2346012374,3038786722,2567003882,2086345182,2657398744
AGO,Angola,Energy,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31095340819,29471174051,29331940157,30000838127,30213538445,36576505511,33854145784,38153427973,40757638876,46828831696,55331012245,51125243679,39045602683,26664080195,20458371824,24585194329,31649789768,31646974127,26432185543,24434783936,37000270803,36128663876,61503528029,68391507168,87137503415,1.41625E+11,1.98841E+11,2.42541E+11,3.11435E+11,2.39766E+11,2.63615E+11,3.41843E+11,3.99489E+11,4.09458E+11,4.06842E+11,2.54506E+11,1.45435E+11,2.10411E+11,2.43972E+11,1.97102E+11,1.49941E+11,1.99546E+11
AGO,Angola,Industrial Processes and Product Use,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42974662326,39365127915,39646307400,45545996819,33143108459,41051959016,38645154896,44416879187,19358168985,22719596969,80205464021,75204145681,52581082114,41802321899,32876451978,46156243833,50513064470,46922560816,35553167251,48832721770,73036758552,33594224523,53633666063,54473103440,67678296690,64747668475,88781367614,1.09692E+11,1.19809E+11,94119366712,1.29067E+11,1.32927E+11,1.03306E+11,82098765432,67156862745,41731717717,31949034632,65068645082,70083729799,58242945216,45058043005,60963853537
AGO,Angola,Industrial Processes and Product Use,F-Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90E+16,6.12E+16,5.83E+16,5.81E+16,5.90E+16,6.99E+16,6.26E+16,6.85E+16,7.13E+16,7.91E+16,8.77E+16,2.20E+16,7.28755E+15,2.34501E+15,7.80021E+14,4.04288E+14,1.1834E+14,5.66546E+13,2.64481E+13,1.61071E+13,1.22545E+13,4.4458E+12,3.3743E+12,2.51948E+12,1.97916E+12,1.66536E+12,2.33844E+12,2.47221E+12,2.90291E+12,2.11769E+12,2.26943E+12,2.97814E+12,3.16456E+12,3.13679E+12,3.02428E+12,1.80953E+12,9.73447E+11,1.27491E+12,1.36479E+12,1.15708E+12,8.53807E+11,1.10254E+12
AGO,Angola,Industrial Processes and Product Use,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10561E+11,1.00139E+11,96506642487,97052711342,99398162711,1.18446E+11,1.07872E+11,1.20031E+11,1.26841E+11,1.43831E+11,1.53798E+11,1.40645E+11,1.06814E+11,71696748968,53382418236,64536135114,85326122415,84426631634,69977516854,64322094786,92556568655,87680675488,1.44898E+11,1.62872E+11,2.07983E+11,3.14882E+11,4.30822E+11,5.17766E+11,6.76787E+11,5.1967E+11,5.8208E+11,7.49532E+11,8.28978E+11,8.51734E+11,8.46651E+11,5.20787E+11,2.87866E+11,3.85754E+11,4.21049E+11,3.68591E+11,2.77669E+11,3.66085E+11
AGO,Angola,Other,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45024927883,42524616438,42139778281,43521395221,47849813212,55343926460,51146026282,57840271404,59932821321,68463751940,75360838678,69093533205,53407203669,35716092660,26883925429,34103498922,45100950419,44635993073,38506146840,33848184305,49653523865,47149042479,77836027884,82789719204,1.08265E+11,1.79802E+11,2.34994E+11,2.75144E+11,3.38779E+11,2.4525E+11,2.68784E+11,3.45068E+11,3.74521E+11,3.57047E+11,3.3557E+11,2.06114E+11,1.16146E+11,1.76681E+11,1.99275E+11,1.52014E+11,1.1388E+11,1.48443E+11
AGO,Angola,Total excluding LULUCF,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332241086.9,354097801.3,324115797.7,317820966.8,386843852.7,454349501.3,404696042.7,351472696.2,423124272.6,461588191.8,380636100.4,365647742.8,299380575.6,187600664.1,108915853.2,121730753,149038546.7,147084181,115154506.3,110863476.5,172256506,173515800.4,293953746.7,334510888.7,406069780.1,637429632.7,1047620138,1305329042,1753239818,1413209386,1492229336,2056603774,2347417840,2451612903,2597156398,1571518739,910328658,1271387351,1474747679,1277587185,997564114.9,1349711362
AGO,Angola,Total excluding LULUCF,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411840514,405144747.2,426960233.5,422214715,444309787.3,555408857.3,520004657.8,538924800.8,613234304.2,718387256.3,1039700460,946766476.9,716190601.2,480726701.8,461363931.1,297782218.3,384002377.9,460745627.3,378269163.2,339940494.1,546682324.5,538317091.7,915305079.5,968081784,1418798027,2339931563,2993200394,3625914005,4611385979,3332093220,3476576857,4412955466,4716981132,5057034221,3605263158,2997226461,1655830366,2261402091,2913593261,2457769674,1993274021,2545508270
AGO,Angola,Total excluding LULUCF,F-Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90E+16,6.12E+16,5.83E+16,5.81E+16,5.90E+16,6.99E+16,6.26E+16,6.85E+16,7.13E+16,7.91E+16,8.77E+16,2.20E+16,7.28755E+15,2.34501E+15,7.80021E+14,4.04288E+14,1.1834E+14,5.66546E+13,2.64481E+13,1.61071E+13,1.22545E+13,4.4458E+12,3.3743E+12,2.51948E+12,1.97916E+12,1.66536E+12,2.33844E+12,2.47221E+12,2.90291E+12,2.11769E+12,2.26943E+12,2.97814E+12,3.16456E+12,3.13679E+12,3.02428E+12,1.80953E+12,9.73447E+11,1.27491E+12,1.36479E+12,1.15708E+12,8.53807E+11,1.10254E+12
AGO,Angola,Total excluding LULUCF,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520969060.8,591294666.7,503399513.5,533256655.7,819737835.9,967462531.3,956925653,699151734.2,1262962029,1222566999,720466909,677774659.1,529004939.6,368726137.6,284230814.7,354702422,533964740.7,551950452,425594254.5,433768748.4,625229065.8,597346434.6,946382700.7,962547137.9,1264539450,2020577941,3089194919,3602219406,5140301596,4053781622,4472423888,5778385657,6956270104,7163863962,7586329103,4638386392,2638012302,3582851818,4485397500,3556282701,2824643156,3797913585
AGO,Angola,Waste,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4821547480,4344800811,4181154829,4237612891,4356287790,5173671547,4714708897,5223826825,5489358717,6182484266,6585785902,5999312329,4545997797,3076650892,2287794339,2738565765,3579760574,3512458054,2891657603,2646418470,3788213618,3574425489,5823083744,6536772413,3665688288,5754228591,16628891077,19777712752,25296745944,19262237516,21499883194,27421383648,30120481928,30751445087,30276243094,18656532627,10276390521,13725923142,15032452189,15316929239,11849518492,16032483030
AGO,Angola,Waste,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83970540608,74503128000,75103959677,77025961383,80687920318,90526851139,91628402296,1.02366E+11,1.10628E+11,1.28691E+11,1.53172E+11,1.44647E+11,1.09328E+11,71432185319,51894406578,60939039058,78193598250,77539867120,64214662525,57513627928,73117480250,69253558930,1.14495E+11,1.2479E+11,1.56813E+11,2.33641E+11,3.14446E+11,3.63812E+11,4.53602E+11,3.33706E+11,3.59318E+11,4.4825E+11,4.84368E+11,4.85646E+11,4.77395E+11,2.94153E+11,1.67585E+11,2.29161E+11,2.5101E+11,2.05824E+11,1.52483E+11,1.99546E+11
ALB,Albania,Agriculture,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991783391,2119609087,2243129679,2065306452,1935128538,2086194444,1955232530,1099559028,690132265.4,1153591696,1694550919,2002313685,2504611613,1767917005,1950930683,2315042631,1886371414,2185014370,2498889794,3201995011,4129129760,4828829709,5449355540,7001524029,9007939516,8971477159,8834757651,9619973531,9025516804,9342757226,9551009037,8177271189,8548612491,9608626817,11417274810,12624451438,12178564403,14936640900
ALB,Albania,Agriculture,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21472115746,21931215410,23996867849,26272679924,24565703593,23943570670,25199425466,23246491078,28110990983,91178112923,1.19806E+11,1.67326E+11,4.2776E+11,4.46347E+11,1.36148E+11,5.4721E+11,4.31271E+11,3.59826E+11,1.72542E+11,2.93796E+11,2.46051E+11,4.23793E+11,4.13771E+11,5.15813E+11,7.48916E+11,5.40099E+11,5.93379E+11,6.052E+11,4.8695E+11,1.03872E+12,5.85316E+11,3.66137E+11,3.75354E+11,4.05598E+11,4.64921E+11,5.22096E+11,5.01055E+11,5.9094E+11
ALB,Albania,Agriculture,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94657E+11,5.17556E+11,5.58572E+11,5.58603E+11,5.25446E+11,5.3622E+11,5.08002E+11,3.75361E+11,2.35323E+11,3.97757E+11,5.1737E+11,6.58149E+11,1.01293E+12,7.57891E+11,8.21491E+11,1.0932E+12,1.12299E+12,1.26552E+12,1.40296E+12,1.81063E+12,2.31824E+12,2.47893E+12,2.87044E+12,3.47864E+12,4.1967E+12,3.96243E+12,3.9627E+12,4.11977E+12,3.93731E+12,4.20326E+12,4.30969E+12,3.53805E+12,3.55381E+12,4.04539E+12,5.30349E+12,5.27388E+12,4.92991E+12,6.00738E+12
ALB,Albania,Energy,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10039664930,10090692197,10824909677,10725753866,10505691421,12016480000,9907466422,3926996529,2329196396,4310238065,11162917033,55971107673,21224818149,17013287940,20286570048,29267623244,29432179772,33028217213,35350148309,43754356780,52925862114,69866147844,66141806089,78365681791,93682570967,87594240625,87859468354,97472699667,94767926438,99232780637,94655796179,71728189795,84722855936,75041437101,80834305653,93486074379,90204865997,1.07097E+11
ALB,Albania,Energy,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521724160.7,526958370.3,569925611.4,632460866.3,635057662.5,577715384.6,652268086.8,221685287.9,209030445.8,392488565.6,569985309.1,752441777.7,1032142366,690677056.3,636491135.3,741829480.6,1163998414,1163828129,1249444897,1537396235,1842227124,2096894151,2372286112,2716876373,3228409401,2788011131,2812953497,2766258483,3012183481,2858214879,2486493894,2797751875,2928691316,2603937867,3368096069,3407484680,3446894367,5339194006
ALB,Albania,Energy,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68641827011,72505011886,80989730153,79709335065,78219808191,91979375888,68072273490,73065255366,19895515278,39775686846,62494236162,66911768820,1.19301E+11,94736324413,1.2205E+11,1.34737E+11,1.45988E+11,1.46238E+11,1.6212E+11,2.09228E+11,2.67885E+11,3.37755E+11,3.31695E+11,3.98111E+11,4.3226E+11,4.04168E+11,4.00232E+11,3.86229E+11,4.09324E+11,4.04464E+11,4.07245E+11,3.53805E+11,3.79073E+11,4.0832E+11,4.98632E+11,4.61464E+11,4.45422E+11,5.28235E+11
ALB,Albania,Industrial Processes and Product Use,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ALB,Albania,Industrial Processes and Product Use,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719757419,1756527901,1889483108,1857853795,1953558333,2048263636,1878290509,1057268296,736920893.6,1343895088,2127773213,2706747571,3619503774,2595993074,2926396024,3617254111,6327918651,4462003179,5009295210,5448054618,6531532529,11841284616,7116858335,6978643231,8050845943,7255547040,6446985313,6350130311,5811240772,5729246864,6239692225,5722035241,6242736753,6289704994,7321947976,7299445855,7171500602,8654049052
ALB,Albania,Industrial Processes and Product Use,F-Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60115E+14,1.56781E+14,1.66454E+14,1.58839E+14,1.49725E+14,1.57559E+14,1.41857E+14,3.08E+13,8.23453E+12,2.79556E+12,1.56746E+12,8.08367E+11,5.94729E+11,4.2694E+11,3.03452E+11,2.52923E+11,1.98877E+11,1.60742E+11,1.39361E+11,1.35217E+11,1.30157E+11,1.1325E+11,1.12894E+11,1.19034E+11,1.28814E+11,1.09493E+11,99391023575,1.04803E+11,93332048765,90611492957,88187650107,71615409623,70602379946,73557566876,81486195215,79390880175,74541213158,86132280660
ALB,Albania,Industrial Processes and Product Use,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95382E+11,1.94677E+11,2.1009E+11,2.02981E+11,1.9555E+11,2.11193E+11,1.88566E+11,1.0221E+11,61302708138,1.13321E+11,1.82425E+11,2.34778E+11,3.15796E+11,2.22255E+11,2.4981E+11,3.14255E+11,3.39507E+11,3.82599E+11,4.25389E+11,5.48995E+11,7.07029E+11,7.97061E+11,8.8847E+11,1.07597E+12,1.31386E+12,1.23978E+12,1.23528E+12,1.3434E+12,1.2879E+12,1.33561E+12,1.37856E+12,1.18667E+12,1.23611E+12,1.35264E+12,1.57463E+12,1.63557E+12,1.612E+12,1.95144E+12
ALB,Albania,Other,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ALB,Albania,Other,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ALB,Albania,Other,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
